Index,ISLANDNAME,PLOT,Easting,Northing,OCODES,BRCR,URB_100Z,RUR_100Z,FOR0_100Z,FOR1_100Z,FOR2_100Z,SAV_100Z,SHR_100Z,CR_CL_2Z,CR_CL_3Z,Is_sizeZ,rd_up_100Z,rd_p_100Z
126,Little D'Arcy,LDA04,480457,5379574,b,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,0.333443488,1.057877024,0.237737247,-0.848149377,-0.861400343,-0.404451253,-0.56544841,-0.342724967
127,Little Shell,LSH07,472199,5390857,b,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,-0.635999983,0.322130977,-0.202047601,-1.527173424,-0.861400343,-0.404811347,-0.56544841,-0.342724967
135,Mandarte,MAN01,478692,5386868,b,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,-0.635999983,3.092858645,-0.202047601,-1.527173424,-0.861400343,-0.404598557,-0.56544841,-0.342724967
136,Mandarte,MAN02,478850,5386776,b,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,-0.635999983,3.237833467,-0.202047601,-1.527173424,-0.861400343,-0.404598557,-0.56544841,-0.342724967
137,Mandarte,MAN03,478628,5386911,b,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,-0.635999983,2.751839304,-0.202047601,-1.527173424,-0.861400343,-0.404598557,-0.56544841,-0.342724967
139,Mandarte,MAN05,479031,5386675,b,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,-0.635999983,2.997736671,-0.202047601,-1.527173424,-0.861400343,-0.404598557,-0.56544841,-0.342724967
143,Mayne,May-30,479383,5409832,c,0,-0.180973645,-0.413305792,-0.244224744,1.467012057,-0.523645725,-0.46421402,-0.202047601,1.030189248,1.181300023,-0.32776768,-0.56544841,-0.342724967
144,Mayne,May-01,481521,5410470,b,0,-0.180973645,0.464874197,2.197333336,0.200098865,-0.635999983,-0.46421402,-0.163353069,-0.76856994,-0.861400343,-0.32776768,-0.56544841,2.382567564
145,Mayne,May-02,481576,5410672,b,0,-0.180973645,0.049306906,0.746049912,0.327299509,-0.034388762,-0.316168346,-0.202047601,0.95334102,-0.618642776,-0.32776768,1.566315751,0.508520687
146,Mayne,May-03,481843,5410515,b,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,1.306536671,-0.46421402,-0.202047601,0.025096545,-0.750281526,-0.32776768,-0.56544841,-0.342724967
147,Mayne,May-04,482047,5410443,b,0,-0.180973645,-0.413305792,0.361333487,-1.013014826,0.271910493,-0.33708515,-0.202047601,-1.139661777,-0.861400343,-0.32776768,-0.56544841,-0.342724967
148,Mayne,May-05,481408,5410362,b,0,-0.180973645,2.662254109,-0.244224744,-0.479116444,-0.635999983,-0.46421402,-0.202047601,-1.119172822,-0.861400343,-0.32776768,-0.56544841,2.893696453
149,Mayne,May-06,479978,5409963,b,0,-0.180973645,0.177529885,-0.244224744,0.14497862,0.291239063,0.206779248,-0.202047601,0.543778952,0.572892853,-0.32776768,-0.56544841,1.301812127
150,Mayne,May-07,480055,5409762,b,0,-0.180973645,0.589008632,-0.244224744,0.308584761,0.032593052,-0.320734683,-0.202047601,-0.345793462,-0.592032855,-0.32776768,-0.56544841,2.888306917
151,Mayne,May-08,480175,5409674,c,0,-0.180973645,0.985379142,-0.244224744,-0.16519321,0.387452801,-0.46421402,-0.202047601,-0.656991838,-0.211424238,-0.32776768,-0.56544841,1.577587291
152,Mayne,May-09,480285,5409507,b,0,-0.180973645,1.129327575,-0.244224744,0.362034228,-0.414080386,-0.46421402,-0.202047601,-0.676766793,-0.206673991,-0.32776768,-0.56544841,1.531583155
153,Mayne,May-10,480417,5409342,c,0,-0.180973645,1.739247533,-0.244224744,-0.598714368,0.303887714,-0.46421402,-0.202047601,-0.4196978,-0.861400343,-0.32776768,-0.56544841,1.543483471
154,Mayne,May-11,480638,5409238,b,0,-0.180973645,2.638258153,-0.244224744,-1.012173832,0.070936726,-0.46421402,-0.202047601,-0.874012857,-0.861400343,-0.32776768,-0.56544841,1.566333011
155,Mayne,May-12,480836,5409123,c,0,-0.180973645,0.989183499,2.562930145,-0.254292921,-0.635999983,-0.46421402,-0.202047601,-0.818006243,-0.683621613,-0.32776768,0.091328116,1.574490192
156,Mayne,May-13,480969,5408947,b,0,-0.180973645,2.327524304,0.799004536,-0.644366861,-0.635999983,-0.46421402,0.124114001,-1.244527418,-0.829735818,-0.32776768,-0.56544841,1.546335029
157,Mayne,May-14,481007,5408742,c,0,-0.180973645,0.287850453,-0.244224744,1.09068967,-0.635999983,-0.46421402,-0.202047601,-0.038289869,1.045727386,-0.32776768,-0.56544841,1.52989764
158,Mayne,May-15,481122,5408714,b,0,-0.180973645,-0.285153042,-0.244224744,1.469524438,-0.635999983,-0.46421402,-0.202047601,-0.079021459,2.119550739,-0.32776768,-0.258536502,1.919057705
159,Mayne,May-16,481195,5408694,c,1,-0.180973645,-0.038761066,-0.244224744,1.30662652,-0.635999983,-0.46421402,-0.202047601,0.128953039,1.5917072,-0.32776768,0.19902886,1.97504488
