species,crown_class,age,dbh,height,volume
3,1,326,67.7,41.5,5.7816
3,1,390,68.9,44.8,7.4662
3,1,373,62.6,42.4,5.4228
3,3,174,38.5,32.3,1.5313
3,3,211,33.1,31.4,1.0864
3,3,220,29,25.3,0.7036
3,2,409,66,43.3,6.568
3,2,231,39.3,35.1,1.8639
3,1,332,66.5,44.5,5.9647
3,3,209,30.7,20.4,0.5585
3,2,192,40.2,33.8,1.6925
3,3,204,29.5,28.3,0.9406
3,2,379,65.5,44.5,6.1544
3,1,379,73.2,47.9,8.2506
3,2,358,61.9,43,5.3474
3,3,271,32.5,26.5,0.8626
3,2,198,39.2,33.5,1.5695
3,2,259,61.7,45.1,5.1057
3,1,380,79.1,49.1,9.8453
3,2,386,89.8,48.2,9.813
3,2,255,42.9,32.9,1.7785
3,2,261,63.8,42.7,5.6692
3,2,230,55.9,37.8,3.4737
3,1,255,80.4,49.1,9.2734
3,1,375,76.5,45.1,8.3602
3,2,357,74.4,43.6,6.4322
3,1,361,94.6,50.3,13.3311
3,1,378,82.5,48.5,10.0961
3,1,399,93.1,45.7,13.171
3,1,375,81.4,47.5,9.592
3,1,352,72.7,44.5,7.522
3,1,383,85.7,47.9,9.7897
3,1,385,88.2,43.3,9.6001
3,1,379,87.5,45.4,13.4485
3,2,222,40.6,36.9,1.9874
3,1,366,80,41.1,9.3194
3,2,250,33.7,31.4,1.1552
3,1,393,95,50.6,13.6094
3,1,392,94,51.8,12.7266
3,2,218,46.1,35.1,2.4248
3,2,185,46.9,35.4,2.5842
3,1,356,78.3,53,9.0341
3,2,205,39.3,35.1,1.9673
3,2,235,45.3,37.8,2.4015
3,2,231,39.8,39.9,2.016
3,2,218,46.1,35.1,2.4248
3,2,244,67,46,6.3846
3,2,237,52.7,43.3,3.6331
3,2,186,29.5,24.4,0.7969
3,2,252,65.2,42.7,5.4518
3,1,440,80.7,45.4,9.1775
3,2,228,48.7,34.1,2.7127
3,2,274,48.8,36.6,2.7567
3,1,332,91.7,45.4,12.5834
3,3,246,33.5,30.8,1.0532
3,3,234,34.9,25.9,1.0127
3,1,408,90.9,44.5,12.6016
3,2,228,50.6,37.5,3.2376
3,2,221,39.5,36,1.91
3,2,236,53.7,40.2,3.6368
3,2,244,45.2,38.7,2.8166
3,2,252,58.5,37.8,3.9303
3,2,262,50.1,37.2,3.4862
3,2,257,66.8,41.5,5.669
3,2,245,59.2,42.1,4.5853
3,2,239,50.6,37.8,3.3466
3,2,279,54.7,38.4,3.9291
3,1,310,76.1,45.4,8.632
3,2,258,45.3,29.9,1.6823
3,2,154,34.5,30.8,1.1615
3,1,370,76.8,45.1,8.4287
3,2,392,69.9,46,5.9396
3,2,269,64.7,42.7,5.5713
3,1,347,71.7,38.7,7.098
3,2,242,60.6,40.5,4.7682
3,2,265,50.9,32.3,3.0849
3,1,290,64.9,40.2,4.4479
5,3,42,12.5,9.4,0.0313
5,3,51,17.1,10.93,0.0805
5,2,63,13.3,13.01,0.0771
5,2,57,15.4,12.4,0.0841
5,3,52,22.4,13.9,0.1869
5,3,40,13.9,12.7,0.0673
5,3,57,13.2,11.9,0.0423
5,2,85,19.6,19.22,0.245
5,2,90,24.4,19.5,0.3684
5,2,71,20.6,18.65,0.2528
5,2,72,29.3,19.96,0.4227
5,1,76,31.7,19.51,0.6646
5,2,83,27.4,22.25,0.5211
5,1,78,22.6,23.47,0.3771
5,1,82,33,21.03,0.6457
5,1,74,28.4,18.59,0.4563
5,2,78,20.6,19.81,0.2392
5,1,73,22.6,21.03,0.2834
5,2,81,24.9,20.73,0.4074
5,2,79,18,20.73,0.183
5,2,74,22.1,19.51,0.33
5,2,82,20.8,20.73,0.2242
5,1,102,36.1,21.34,0.8052
5,3,74,17.5,13.72,0.0839
5,2,62,18.5,18.59,0.1423
5,3,73,25.1,18.59,0.4244
5,1,70,31.2,20.73,0.612
5,2,72,24.4,19.81,0.2772
5,1,73,32.5,21.03,0.7065
5,2,69,22.9,21.64,0.2949
5,2,79,25.7,18.9,0.2489
5,2,82,22.4,20.42,0.2773
5,1,76,27.9,17.98,0.3519
5,3,68,46,24.08,1.3874
5,1,80,36.6,27.43,1.0235
5,1,85,39.6,24.38,1.0623
5,1,72,33,21.64,0.7763
5,3,81,15.5,16.46,0.0772
5,1,76,27.9,23.77,0.593
5,2,83,20.3,23.16,0.2841
5,1,78,28.4,24.38,0.6415
5,2,82,26.2,24.99,0.5498
5,2,78,25.9,24.69,0.5126
5,1,79,24.1,23.77,0.4533
5,3,81,16.8,21.34,0.1521
5,2,82,22.1,24.08,0.1879
5,2,82,20.1,21.95,0.2565
5,1,81,31.5,20.42,0.64
5,1,28,13.7,14.02,0.0621
5,1,91,23.6,18.29,0.3291
5,3,71,43.2,19.4,0.9709
5,3,77,30.7,18,0.4778
5,3,71,37.8,20.8,0.9146
5,3,79,46.7,21.1,1.2994
5,3,78,40.1,19.1,0.8535
5,3,81,32.3,19.8,0.5814
5,3,76,37.5,19.8,0.8668
5,3,83,36.3,20.1,0.7611
5,3,46,17.5,18.6,0.1514
5,2,49,15.3,14.7,0.0967
5,3,39,20.3,19.6,0.2335
5,3,37,18.7,19.1,0.1798
5,3,74,46.7,20.8,1.2273
5,3,120,43.2,26.8,1.4723
5,3,67,17.9,18.9,0.1493
5,1,64,21.5,19.6,0.2734
5,2,67,16.9,18.3,0.1649
5,1,64,24.5,20.1,0.3458
5,1,69,26.5,20.4,0.4015
5,1,66,29,20.5,0.4369
5,3,61,18.5,18.1,0.1675
5,3,26,15.7,13.5,0.0758
5,1,39,16.7,11.4,0.0759
5,2,24,12.6,12.6,0.0304
5,2,86,27.4,23.1,0.5884
5,3,84,19.4,22.7,0.2013
5,3,80,29.1,19.5,0.4323
5,3,51,25.7,21.3,0.3981
5,3,80,29.2,20.6,0.5723
5,2,96,32.4,22.4,0.6364
5,3,71,16.2,17.4,0.1302
5,3,78,34.7,25.7,0.8649
5,3,65,33.1,25.8,0.8816
5,2,78,19.8,12.5,0.146
5,2,80,13.3,12.1,0.041
5,2,78,13.5,12.4,0.0368
5,2,81,17.9,14.7,0.1164
5,2,103,18.9,12.9,0.149
5,2,82,17.1,14,0.1006
5,2,77,16.1,13.8,0.0721
5,2,80,15.7,12.9,0.0741
5,2,95,21.7,11.6,0.1248
5,1,109,33,20,0.6834
5,2,86,20.5,17.3,0.1869
5,2,92,23,18.8,0.3022
5,2,98,25.2,18.4,0.2978
5,2,72,18.1,17.9,0.1635
5,2,87,19.7,18.1,0.222
5,2,74,16.5,17.8,0.132
5,2,82,21.1,20.5,0.2809
5,2,60,13.5,15.1,0.0532
5,2,64,15.9,14.1,0.0505
5,2,63,13.9,14.4,0.0496
5,2,58,13.2,11.1,0.0396
5,2,59,12.8,9.6,0.0269
5,2,68,15.1,9.7,0.0405
5,2,52,13.7,10.8,0.0407
5,1,78,32,23.16,0.7708
5,2,81,26.7,21.95,0.4869
5,2,70,22.9,21.34,0.3831
5,2,78,25.7,21.95,0.4643
5,2,69,21.6,21.03,0.2787
5,2,71,23.4,20.42,0.2995
5,2,65,21.8,21.03,0.2831
5,1,160,36.6,23.77,1.0132
5,2,122,32.3,20.12,0.795
5,2,64,18,18.9,0.1798
5,2,66,20.8,20.73,0.2686
5,1,117,45.2,23.16,1.5749
5,1,64,27.4,19.51,0.4885
5,3,58,17.5,19.2,0.1291
5,2,76,20.8,20.12,0.2113
5,2,72,23.9,19.2,0.3361
5,2,71,21.3,19.81,0.2724
5,3,53,18,19.51,0.1697
5,2,92,28.4,22.86,0.6009
5,3,96,16.5,15.24,0.127
5,2,100,21.8,22.25,0.3634
5,2,93,27.9,25.3,0.7295
5,3,48,12.7,16.15,0.0448
5,3,52,16,16.76,0.1182
5,2,44,15.2,17.68,0.1073
5,2,44,14.2,16.15,0.0618
5,1,41,20.1,20.73,0.2533
5,2,47,14.2,18.59,0.0925
5,2,47,18.3,20.12,0.1953
5,2,46,16,19.2,0.121
5,1,46,19.3,20.12,0.2022
5,2,44,16.8,19.2,0.1542
5,2,46,16.8,19.2,0.1486
5,2,47,17,20.42,0.1618
5,2,47,21.8,24.08,0.2928
5,1,55,19.6,17.68,0.2271
5,2,107,23.4,23.47,0.387
5,1,97,30,22.86,0.6028
5,2,81,23.6,22.86,0.5818
5,2,72,27.2,22.86,0.4918
