BRCR,RUR_100Z,CR_CL_2Z,rd_up_100Z
0,-0.413305792,-0.866847908,-0.56544841
0,-0.413305792,-1.249068583,-0.56544841
0,-0.413305792,-0.468446146,-0.56544841
1,-0.302988639,-0.131599141,-0.56544841
0,-0.413305792,-0.395537935,-0.56544841
0,-0.413305792,-0.848149377,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
