"","species","crownclass","age","dbh","height","volume","lnvolume","lndbh","lnht","lnage","recdbh","dbhsq","combinedvar"
"1",5,1,28,13.7,14.02,0.0621,-2.7790092900427,2.61739583283408,2.64048488160644,3.3322045101752,0.072992700729927,187.69,2631.4138
"2",5,1,64,21.5,19.6,0.2734,-1.29681935469229,3.06805293513362,2.97552956623647,4.15888308335967,0.0465116279069767,462.25,9060.1
"3",5,1,79,24.1,23.77,0.4533,-0.791201121035333,3.18221184049661,3.1684242813721,4.36944785246702,0.04149377593361,580.81,13805.8537
"4",5,1,76,27.9,23.77,0.593,-0.522560879984412,3.32862668882732,3.1684242813721,4.33073334028633,0.03584229390681,778.41,18502.8057
"5",5,1,78,28.4,24.38,0.6415,-0.443946094926446,3.34638914516716,3.19376312405313,4.35670882668959,0.0352112676056338,806.56,19663.9328
"6",5,1,66,29,20.5,0.4369,-0.828050943024747,3.36729582998647,3.02042488614436,4.18965474202643,0.0344827586206897,841,17240.5
"7",5,1,70,31.2,20.73,0.612,-0.491022996469811,3.44041809481544,3.03158192644769,4.24849524204936,0.0320512820512821,973.44,20179.4112
"8",5,1,109,33,20,0.6834,-0.380674939300946,3.49650756146648,2.99573227355399,4.69134788222914,0.0303030303030303,1089,21780
"9",5,1,102,36.1,21.34,0.8052,-0.216664585216501,3.58629286533884,3.06058324587361,4.62497281328427,0.0277008310249307,1303.21,27810.5014
"10",5,2,24,12.6,12.6,0.0304,-3.49331267056996,2.53369681395743,2.53369681395743,3.17805383034795,0.0793650793650794,158.76,2000.376
"11",5,2,63,13.3,13.01,0.0771,-2.56265199841285,2.58776403522771,2.56571829252441,4.14313472639153,0.075187969924812,176.89,2301.3389
"12",5,2,74,16.5,17.8,0.132,-2.02495335639577,2.80336038090653,2.87919845729804,4.30406509320417,0.0606060606060606,272.25,4846.05
"13",5,2,103,18.9,12.9,0.149,-1.90380897303668,2.9391619220656,2.55722731136763,4.63472898822964,0.0529100529100529,357.21,4608.009
"14",5,2,85,19.6,19.22,0.245,-1.40649706843741,2.97552956623647,2.95595140354215,4.44265125649032,0.0510204081632653,384.16,7383.5552
"15",5,2,95,21.7,11.6,0.1248,-2.08104282304681,3.07731226054641,2.45100509811232,4.55387689160054,0.0460829493087558,470.89,5462.324
"16",5,2,92,23,18.8,0.3022,-1.1966662291435,3.13549421592915,2.9338568698359,4.52178857704904,0.0434782608695652,529,9945.2
"17",5,2,79,25.7,18.9,0.2489,-1.39070406960859,3.24649099190117,2.9391619220656,4.36944785246702,0.0389105058365759,660.49,12483.261
"18",5,2,82,26.2,24.99,0.5498,-0.598200703250992,3.26575941076705,3.21847574484686,4.40671924726425,0.0381679389312977,686.44,17154.1356
"19",5,2,86,27.4,23.1,0.5884,-0.530348290254855,3.31054301339402,3.13983261752775,4.45434729625351,0.0364963503649635,750.76,17342.556
"20",5,2,96,32.4,22.4,0.6364,-0.451927982518505,3.47815842279828,3.10906095886099,4.56434819146784,0.0308641975308642,1049.76,23514.624
"21",5,3,57,13.2,11.9,0.0423,-3.1629681929299,2.58021682959233,2.47653840011748,4.04305126783455,0.0757575757575758,174.24,2073.456
"22",5,3,26,15.7,13.5,0.0758,-2.57965698633381,2.75366071235426,2.60268968544438,3.25809653802148,0.0636942675159236,246.49,3327.615
"23",5,3,74,17.5,13.72,0.0839,-2.47812966550898,2.86220088092947,2.61885462229774,4.30406509320417,0.0571428571428571,306.25,4201.75
"24",5,3,37,18.7,19.1,0.1798,-1.71591015694462,2.92852352386054,2.94968833505258,3.61091791264422,0.053475935828877,349.69,6679.079
"25",5,3,80,29.2,20.6,0.5723,-0.55809194956708,3.37416870927424,3.02529107579554,4.38202663467388,0.0342465753424658,852.64,17564.384
"26",5,3,77,30.7,18,0.4778,-0.738563044090428,3.42426265459315,2.89037175789616,4.34380542185368,0.0325732899022801,942.49,16964.82
"27",5,3,81,32.3,19.8,0.5814,-0.542316290857361,3.47506723022861,2.98568193770049,4.39444915467244,0.0309597523219814,1043.29,20657.142
"28",5,3,76,37.5,19.8,0.8668,-0.142947009319933,3.62434093297637,2.98568193770049,4.33073334028633,0.0266666666666667,1406.25,27843.75
"29",5,3,120,43.2,26.8,1.4723,0.386825803889226,3.76584049525006,3.28840188751681,4.78749174278205,0.0231481481481481,1866.24,50015.232
"30",5,3,79,46.7,21.1,1.2994,0.261902619464294,3.84374416467485,3.04927304048202,4.36944785246702,0.0214132762312634,2180.89,46016.779
