clusplot,b1mn,b2mn,b3mn,b4mn,b5mn,b7mn,srmn,ndvimn,tvimn,brightmn,greenmn,wetmn,varimn,vc1mn,vc2mn,X_coordmn,Y_coordmn,tvolha
68,0.170736321,0.121733641,0.082120134,0.35427089,0.136424657,0.055767324,0.231961271,0.623514921,105.9945046,0.386799529,0.13835495,0.085652555,1.282462909,-0.443609065,-0.728987494,529357.1429,5461350,610.6296532
69,0.175478347,0.126531036,0.087343368,0.356684925,0.139274815,0.060082982,0.244893886,0.606566539,105.1933991,0.395230547,0.134382286,0.086161556,1.02652938,-0.439128619,-0.712168455,533937.5,5462937.5,568.3642607
70,0.165994296,0.116403202,0.075155823,0.418645165,0.162920569,0.063044708,0.193789098,0.680033408,108.5541198,0.429588151,0.191870856,0.084075853,1.75324557,-0.430363607,-0.73144224,530075,5465912.5,577.1379346
71,0.156510245,0.10254406,0.067030793,0.197841402,0.072771131,0.038758556,0.347926662,0.485945696,99.25348363,0.252374194,0.039898356,0.068728756,3.82409445,-0.452955612,-0.662032511,530087.5,5465162.5,692.0199829
72,0.166521187,0.123865816,0.074253042,0.393861069,0.168093078,0.064229398,0.203765424,0.664438002,107.8597356,0.41986586,0.172889312,0.073041586,1.984806138,-0.377069905,-0.703130466,530829.1667,5466679.167,930.8764537
73,0.155832813,0.110768166,0.066643887,0.275090532,0.09525571,0.042566489,0.243230606,0.609099223,105.3071175,0.307682057,0.095310516,0.080627415,2.209370683,-0.48673513,-0.732314053,533925,5465217.857,216.4559653
74,0.15809092,0.112138851,0.071544699,0.290218487,0.11858478,0.059490637,0.246404421,0.604728678,105.1041276,0.332699928,0.101541968,0.066389017,1.668460254,-0.420141528,-0.660948141,530120.8333,5463645.833,618.6400511
75,0.174424563,0.133460606,0.091405883,0.422024814,0.153314481,0.066598779,0.217188642,0.643297237,106.9222795,0.442327637,0.178062874,0.099322324,0.849230139,-0.466178003,-0.726538286,533937.5,5464450,612.4946773
76,0.175252536,0.12356122,0.083667759,0.352339662,0.145925183,0.070999057,0.23998833,0.61354868,105.5139535,0.395052259,0.132664839,0.074209882,1.29124858,-0.413253666,-0.665391055,533925,5463707.143,616.9068998
77,0.169381457,0.119906062,0.083667759,0.343649135,0.125024026,0.058813671,0.243577426,0.608369356,105.2772957,0.376239485,0.129261767,0.087846369,1.08037827,-0.466518231,-0.708868873,534700,5463717.857,618.5089298
78,0.157639299,0.100716481,0.058905763,0.173701049,0.066754131,0.037489245,0.343245688,0.490012444,99.4787825,0.232013894,0.02679932,0.061940872,-0.202016621,-0.447486926,-0.653614944,531582.1429,5467450,360.4988602
80,0.151316598,0.107113008,0.068965324,0.261571934,0.090188763,0.046628284,0.264687615,0.581870086,104.0050708,0.297489817,0.085255953,0.076957269,1.641662228,-0.48666989,-0.697032929,532382.1429,5465200,755.8523738
82,0.171790105,0.128130167,0.087794758,0.422024814,0.149619832,0.073706921,0.208821934,0.654810999,107.4569904,0.438069852,0.18048716,0.096121984,0.945749835,-0.476178478,-0.703383413,533150,5463687.5,477.9626954
